country,year,co2,co2_per_capita,co2_5yr_rolling_mean,co2_lag1,co2_lag2,co2_lag3,co2_yoy_pct_change,ghg_intensity
United Kingdom,1972,648.0335693359375,11.55567741394043,639.1798706054688,660.3955688476562,652.584716796875,628.389892578125,-1.8719083069090758,8.268350853748427e-10
United Kingdom,1973,659.5844116210938,11.73871898651123,649.7976318359375,648.0335693359375,660.3955688476562,652.584716796875,1.7824450509551282,7.933470965859946e-10
United Kingdom,1974,617.187255859375,10.977184295654297,647.5571044921875,659.5844116210938,648.0335693359375,660.3955688476562,-6.427858969182898,7.596718625054958e-10
United Kingdom,1975,603.25439453125,10.730218887329102,637.6910400390625,617.187255859375,659.5844116210938,648.0335693359375,-2.257477158812171,7.569088795108547e-10
United Kingdom,1976,598.5333251953125,10.649842262268066,625.3185913085938,603.25439453125,617.187255859375,659.5844116210938,-0.7826000736564809,7.361111767170837e-10
United Kingdom,1977,604.3690185546875,10.75852394104004,616.5856811523438,598.5333251953125,603.25439453125,617.187255859375,0.9749989037737716,7.213715218744674e-10
United Kingdom,1978,604.7280883789062,10.764968872070312,605.6144165039062,604.3690185546875,598.5333251953125,603.25439453125,0.059412347952148004,6.956768989249098e-10
United Kingdom,1979,644.5091552734375,11.464308738708496,611.0787963867188,604.7280883789062,604.3690185546875,598.5333251953125,6.57833953127136,7.152366882763678e-10
United Kingdom,1980,579.0390625,10.288155555725098,606.2357299804687,644.5091552734375,604.7280883789062,604.3690185546875,-10.158132314763058,6.680588677059047e-10
United Kingdom,1981,560.547119140625,9.955620765686035,598.6384887695312,579.0390625,644.5091552734375,604.7280883789062,-3.1935571461338186,6.602021406060495e-10
United Kingdom,1982,548.2293701171875,9.738896369934082,587.4105590820312,560.547119140625,579.0390625,644.5091552734375,-2.1974511335143165,6.38357302189885e-10
United Kingdom,1983,545.47412109375,9.683191299438477,575.559765625,548.2293701171875,560.547119140625,579.0390625,-0.5025723125429371,6.135726250170459e-10
United Kingdom,1984,529.0972290039062,9.372629165649414,552.4773803710938,545.47412109375,548.2293701171875,560.547119140625,-3.002322467105467,5.640018532886278e-10
United Kingdom,1985,559.6346435546875,9.8864164352417,548.5964965820312,529.0972290039062,545.47412109375,548.2293701171875,5.771607348666685,5.788688051908463e-10
United Kingdom,1986,568.5686645507812,10.0184907913208,550.2008056640625,559.6346435546875,529.0972290039062,545.47412109375,1.596402420576859,5.684024659374183e-10
United Kingdom,1987,571.6492919921875,10.049029350280762,554.8847900390625,568.5686645507812,559.6346435546875,529.0972290039062,0.5418215307099628,5.480617181984807e-10
United Kingdom,1988,570.279052734375,10.000239372253418,559.8457763671875,571.6492919921875,568.5686645507812,559.6346435546875,-0.2396992836354639,5.143217855136075e-10
United Kingdom,1989,581.5614624023438,10.170334815979004,570.338623046875,570.279052734375,571.6492919921875,568.5686645507812,1.9784015586530534,5.078391947274559e-10
United Kingdom,1990,601.945068359375,10.492722511291504,578.8007080078125,581.5614624023438,570.279052734375,571.6492919921875,3.5049787984282155,5.207281846089567e-10
United Kingdom,1991,609.4126586914062,10.588316917419434,586.9695068359375,601.945068359375,581.5614624023438,570.279052734375,1.2405767111581145,5.324896320003978e-10
United Kingdom,1992,593.845947265625,10.28852081298828,591.408837890625,609.4126586914062,601.945068359375,581.5614624023438,-2.5543794018338395,5.111506656446371e-10
United Kingdom,1993,579.612548828125,10.01732063293457,593.275537109375,593.845947265625,609.4126586914062,601.945068359375,-2.3968166328385276,4.877551671261995e-10
United Kingdom,1994,574.0169067382812,9.896297454833984,591.7666259765625,579.612548828125,593.845947265625,609.4126586914062,-0.9654107905629594,4.647152538048714e-10
United Kingdom,1995,566.158935546875,9.73540496826172,584.6093994140625,574.0169067382812,579.612548828125,593.845947265625,-1.36894420689756,4.563822812891544e-10
United Kingdom,1996,586.7606811523438,10.064754486083984,580.07900390625,566.158935546875,574.0169067382812,579.612548828125,3.638862572321444,4.598422592015514e-10
United Kingdom,1997,562.7081298828125,9.627650260925291,573.8514404296875,586.7606811523438,566.158935546875,574.0169067382812,-4.099209787249936,4.2660748227139886e-10
United Kingdom,1998,568.543701171875,9.697671890258787,571.6376708984375,562.7081298828125,586.7606811523438,566.158935546875,1.0370511778953206,4.086983634107133e-10
United Kingdom,1999,561.6495971679688,9.545587539672852,569.164208984375,568.543701171875,562.7081298828125,586.7606811523438,-1.212589989071411,3.8754149320646024e-10
United Kingdom,2000,569.03369140625,9.63527488708496,569.73916015625,561.6495971679688,568.543701171875,562.7081298828125,1.3147154872921396,3.7599435395798013e-10
United Kingdom,2001,577.9705810546875,9.748509407043455,567.9811401367188,569.03369140625,561.6495971679688,568.543701171875,1.5705378755960453,3.687888557345386e-10
United Kingdom,2002,560.273193359375,9.409910202026367,567.4941528320312,577.9705810546875,569.03369140625,561.6495971679688,-3.061987629719509,3.4956860069854067e-10
United Kingdom,2003,571.6187744140625,9.555584907531738,568.1091674804687,560.273193359375,577.9705810546875,569.03369140625,2.0250087259502614,3.422579738706723e-10
United Kingdom,2004,573.4297485351562,9.530166625976562,570.4651977539063,571.6187744140625,560.273193359375,577.9705810546875,0.3168150176575457,3.3434718634431264e-10
