country,year,scenario,co2_projected
United States,2027,BAU,4853.847211795368
United States,2027,Moderate Mitigation,4562.616379087645
United States,2027,Aggressive Mitigation,4125.770130026062
United States,2028,BAU,4831.019676466199
United States,2028,Moderate Mitigation,4444.538102348903
United States,2028,Aggressive Mitigation,3864.815741172959
United States,2029,BAU,4810.640806844119
United States,2029,Moderate Mitigation,4329.576726159707
United States,2029,Aggressive Mitigation,3607.980605133089
United States,2030,BAU,4792.447939279348
United States,2030,Moderate Mitigation,4217.354186565826
United States,2030,Aggressive Mitigation,3354.7135574955437
United States,2031,BAU,4776.206585545445
United States,2031,Moderate Mitigation,4107.537663569083
United States,2031,Aggressive Mitigation,3104.5342806045387
United States,2032,BAU,4761.7074105159645
United States,2032,Moderate Mitigation,3999.83422483341
United States,2032,Aggressive Mitigation,2857.0244463095787
United States,2033,BAU,4748.763534039912
United States,2033,Moderate Mitigation,3893.986097912728
United States,2033,Aggressive Mitigation,2611.819943721952
United States,2034,BAU,4737.2081222398165
United States,2034,Moderate Mitigation,3789.7664977918535
United States,2034,Aggressive Mitigation,2368.6040611199082
United States,2035,BAU,4726.8922371866165
United States,2035,Moderate Mitigation,3686.975945005561
United States,2035,Aggressive Mitigation,2127.101506733977
United States,2036,BAU,4717.682917235772
United States,2036,Moderate Mitigation,3585.439017099187
United States,2036,Aggressive Mitigation,1887.0731668943083
United States,2037,BAU,4709.461463282027
United States,2037,Moderate Mitigation,3485.0014828287
United States,2037,Aggressive Mitigation,1648.3115121487092
United States,2038,BAU,4702.121908844311
United States,2038,Moderate Mitigation,3385.527774367904
United States,2038,Aggressive Mitigation,1410.6365726532931
United States,2039,BAU,4695.569654261696
United States,2039,Moderate Mitigation,3286.898757983187
United States,2039,Aggressive Mitigation,1173.892413565424
United States,2040,BAU,4689.720247396507
United States,2040,Moderate Mitigation,3189.0097682296246
United States,2040,Aggressive Mitigation,937.9440494793013
India,2025,BAU,3159.532309991588
India,2025,Moderate Mitigation,3096.341663791756
India,2025,Aggressive Mitigation,3001.5556944920086
India,2026,BAU,3263.2016091837295
India,2026,Moderate Mitigation,3132.6735448163804
India,2026,Aggressive Mitigation,2936.8814482653565
India,2027,BAU,3366.352561879911
India,2027,Moderate Mitigation,3164.371408167116
India,2027,Aggressive Mitigation,2861.399677597924
India,2028,BAU,3468.987759812611
India,2028,Moderate Mitigation,3191.468739027602
India,2028,Aggressive Mitigation,2775.190207850089
India,2029,BAU,3571.1097817556474
